PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
ALLSKY_SFC_SW_DWN,1984.0,17.654,18.17733333333333,21.184666666666665,20.961333333333336,21.318666666666665,16.656,16.78666666666667,18.94333333333333,19.325333333333333,18.488,18.678,18.662
ALLSKY_SFC_SW_DWN,1985.0,19.256666666666668,21.142,23.105999999999998,23.009999999999998,20.256000000000004,15.514000000000001,16.752,16.712,19.017999999999997,18.886000000000003,17.623333333333335,18.376666666666665
ALLSKY_SFC_SW_DWN,1986.0,18.448666666666668,20.716,22.663333333333334,23.514666666666667,20.860666666666667,16.070666666666668,16.848,18.014,18.640666666666668,18.534,17.817999999999998,17.979333333333333
ALLSKY_SFC_SW_DWN,1987.0,19.582,21.738,23.31,22.767999999999997,21.228666666666665,16.236,18.909333333333333,16.685333333333332,19.576666666666664,17.316,17.12933333333333,16.675333333333334
ALLSKY_SFC_SW_DWN,1988.0,19.682000000000002,21.102666666666668,22.22266666666667,21.654,20.002666666666666,17.504666666666665,15.367999999999999,15.644,17.796666666666667,19.685333333333332,18.157333333333334,18.790666666666667
ALLSKY_SFC_SW_DWN,1989.0,18.752666666666663,22.474,23.254666666666665,22.618,20.197333333333333,16.11,15.892,17.336666666666666,18.331333333333337,18.203333333333333,18.442,18.509333333333334
ALLSKY_SFC_SW_DWN,1990.0,19.517999999999997,21.874666666666666,22.470000000000002,22.262,17.191333333333333,16.866,15.394,16.432,19.237333333333332,17.482666666666667,17.784,17.79866666666667
ALLSKY_SFC_SW_DWN,1991.0,18.993333333333332,21.64466666666667,22.736666666666668,22.242666666666665,20.992666666666665,14.488,14.360000000000001,15.937999999999999,20.014666666666667,16.471333333333334,17.255333333333333,17.873333333333335
ALLSKY_SFC_SW_DWN,1992.0,19.934666666666665,21.422666666666668,23.95,23.058666666666667,20.171333333333333,16.149333333333335,15.160666666666666,16.451333333333334,17.857333333333333,17.231333333333335,16.025333333333332,18.28533333333333
ALLSKY_SFC_SW_DWN,1993.0,19.131333333333334,21.514,22.554666666666666,23.236,20.057333333333336,16.971999999999998,15.196666666666665,17.349333333333334,19.242,16.091333333333335,15.931333333333333,16.289333333333335
ALLSKY_SFC_SW_DWN,1994.0,19.09,20.779333333333334,23.338,21.406,20.512666666666668,15.961333333333334,14.305333333333333,16.671333333333333,19.730666666666664,17.709999999999997,17.384,18.788
ALLSKY_SFC_SW_DWN,1995.0,18.504666666666665,20.961333333333336,22.791999999999998,22.142666666666667,19.006666666666668,16.354666666666667,14.7,16.848666666666666,18.884,18.319333333333336,17.469333333333335,19.685333333333332
ALLSKY_SFC_SW_DWN,1996.0,19.226,21.166666666666668,23.14,21.352666666666664,21.161333333333335,16.264,14.842666666666668,16.34,17.160666666666664,17.696,17.802,16.578666666666667
ALLSKY_SFC_SW_DWN,1997.0,19.033333333333335,21.408,22.896666666666665,22.384,20.320666666666668,17.386000000000003,14.863333333333335,16.341333333333335,19.138666666666666,18.158,16.332666666666668,16.198666666666664
ALLSKY_SFC_SW_DWN,1998.0,18.624000000000002,20.728666666666665,22.983333333333334,22.540666666666667,20.57133333333333,15.684,16.62066666666667,17.696,17.76066666666667,16.674,17.197333333333336,16.112000000000002
ALLSKY_SFC_SW_DWN,1999.0,20.572,22.581333333333337,24.308,21.573333333333334,18.390666666666668,18.476,16.116666666666667,18.204666666666665,20.688,16.499333333333333,18.340666666666667,18.538
ALLSKY_SFC_SW_DWN,2000.0,19.65533333333333,20.476666666666667,23.851999999999997,22.271333333333335,21.372666666666667,15.774666666666667,18.438666666666666,16.249333333333333,19.046,18.203333333333333,16.88,18.628666666666668
ALLSKY_SFC_SW_DWN,2001.0,18.362000000000002,21.671333333333333,23.283333333333335,20.831333333333337,20.680666666666664,15.966666666666667,16.199333333333335,17.34,19.508,17.678,17.819333333333336,18.046
ALLSKY_SFC_SW_DWN,2002.0,18.956,21.218,23.610666666666667,23.176,19.529333333333334,18.034666666666666,17.990000000000002,17.122666666666664,22.070666666666668,16.637999999999998,16.916,17.986
ALLSKY_SFC_SW_DWN,2003.0,19.762,21.584666666666667,23.228,22.034666666666666,20.93933333333333,17.71333333333333,15.456666666666667,17.652666666666665,21.192666666666664,17.624666666666666,17.338,19.369333333333334
ALLSKY_SFC_SW_DWN,2004.0,20.21066666666667,22.645333333333333,23.542666666666666,22.159333333333333,17.172666666666668,17.552,16.60533333333333,18.316666666666666,18.732666666666667,18.306,17.154666666666667,19.216
ALLSKY_SFC_SW_DWN,2005.0,19.075333333333333,22.999333333333333,23.182666666666666,20.976,21.134,16.862666666666666,15.629999999999999,19.286,18.270666666666667,17.456666666666667,15.57,17.50133333333333
ALLSKY_SFC_SW_DWN,2006.0,19.667333333333332,23.188666666666666,22.84466666666667,22.460666666666665,19.113333333333333,18.458000000000002,16.982,18.275333333333332,17.74866666666667,17.341333333333335,16.10066666666667,18.446
ALLSKY_SFC_SW_DWN,2007.0,19.777333333333335,22.560666666666666,23.641333333333332,22.936666666666667,21.165333333333333,16.518666666666668,14.927333333333333,17.090666666666667,16.788666666666668,17.336666666666666,18.86,17.062
ALLSKY_SFC_SW_DWN,2008.0,20.558,20.238,19.77,22.157333333333334,21.696,17.062666666666665,16.590666666666667,17.865333333333336,20.181333333333335,17.952666666666666,16.742,17.850666666666665
ALLSKY_SFC_SW_DWN,2009.0,20.583333333333332,23.066666666666666,22.788666666666664,21.387333333333334,20.084,18.387999999999998,15.559333333333333,18.434666666666665,18.221333333333334,19.558666666666667,16.010666666666665,16.421333333333333
